Author,Comment,PublishedAt,LikeCount,ReplyCount
@denizusta3306,Fatih&#39;in yaptıklarını bile unutur oldunuz herhalde erkek diye daha bile devam ediyordu hatalarına,2023-12-24T08:52:56Z,0,0
@Eylul0-xj4gc,Şu sinsi doğa insallah diziden cikar ølsun inşallah kendini bişey sanıyor bide alevin bir sucu yokmus masummus gibi davranıyor pislik cadı küçücük boyuyla herkese kafa tutuyo,2023-12-24T08:52:25Z,0,0
@gamze5267,Alevin yüzsüzlüğü sinirlerimi tepeme çıkarıyor çakma feminist,2023-12-24T08:49:07Z,0,0
@oezlemgueltaslar8530,"Alev gercekten Mustafaya, Umuta birde Nursema nasil yapabildin böyle birseyi.  Insanlari suclayarak kendini Mahsummu zannediyorsun. Tam bir Pisliksin gercekten. Simdi bu olaylarda Fatihle, Doganin ne sucu. Onlari Maaf etcem diyor Pembe. Birde kendi Kizini. Vay be.",2023-12-24T08:46:48Z,0,0
@nevnev8488,Kadın duyarı kasayım derken metrese yazdıkları sahnelere bak asfhasf  dokunaklı kadın savunucusu yaptılar alev kaşarını da,2023-12-24T08:46:38Z,0,0
@MuhammetEymen-ue3pk,"<a href=""https://www.youtube.com/watch?v=zvxNkUoKbA0&amp;t=1h46m59s"">1:46:59</a> buda hapse girmesin jsjjshdhsidj",2023-12-24T08:46:17Z,1,0
@cansukaya3695,Noldu pembik doğanın ağzına sıçmıştınız el birliğiyle,2023-12-24T08:45:24Z,0,0
@user-wr1yr6ni7q,Her bölümde bir mazeme reklam olunuyur.Bu defaki reklam Pril.😂,2023-12-24T08:45:18Z,0,0
@user-cw3,Nah yaparsın pinko!,2023-12-24T08:42:11Z,1,1
@ilhanincesu8376,Ömer ölümcül bir ameliyattan sonra ayaklanması duygusallığı dağıttığı hastane lobisinde sohbetler ve duygularını kivilcima açması onu bırak kivilciminda Ertugrul Beye meyillenmesi keyfimi kaçırmadı degil kotuydu 😮😮😮,2023-12-24T08:41:04Z,1,0
@saadetizgi9335,Doga karakterli insanlar sevimsiz oluyor sonrada bizi sevmiyorlar deniliyor😂,2023-12-24T08:40:51Z,2,0
@sailebabayeva7498,Alevi bin beter olsun yuva yıkan babası yaşındadı,2023-12-24T08:39:17Z,0,0
@nurergen1987,Fatih ilk defa suçsuz 😅,2023-12-24T08:38:41Z,2,0
@nehir5464,doğa abarttı gercekten,2023-12-24T08:38:39Z,1,0
@sailebabayeva7498,Doqanın sayqısızlıqı,2023-12-24T08:38:27Z,1,0
@ilhanincesu8376,Evin tatlı yılanı kim sizce ?? Bence NİLAY😮😮,2023-12-24T08:38:27Z,0,0
@orhanuzakk,Umut’un olayı arabayı satın güzellik merkezi açıp incelemeye alınmadı ve hapise düşmesi 😀 benzer işler,2023-12-24T08:37:42Z,0,0
@mahirehuseynova4040,Pembeye üzüldüm gercekten.Yani hic hakk etdi falan diyemem. Evet yanlışları oldu ama bu kadari da fazla bemce . yüzsüzler ya hunlar,2023-12-24T08:36:44Z,1,0
@user-bu3yg4fw8o,KİVİLCİM HATA YApti ADAM ANLATTI İTİRAF ETTİ ONU DÜŞÜNDÜĞÜ İCİN YALAN SÖYLEDİ AMA O ERTURULU SECTİ BRAVO ÖMER KADAR SEVMİYORMUS,2023-12-24T08:34:08Z,0,0
@gamzecnesn6383,Nur Sema&#39;nın onda gözüm yok bunda gözüm yok diye diye eldeki avuçtakini satması ajdjdjdjddj,2023-12-24T08:34:07Z,0,0
@eceee3505,Doğa cok kotu ..,2023-12-24T08:33:58Z,1,0
@pink_black789,bişe diycem pembe nursemayı odalara kliitliyodu şmdi onsuz yapamıyo nursema olmasa pembeye kimse destek olamazdı,2023-12-24T08:33:17Z,0,0
@e.turkish3280,Bunlar da diziye yeni eleman almamak için kendi boklarında patinaj yapıyormuş herkes birbiriyle sevgili,2023-12-24T08:32:20Z,0,0
@uhruc1937,Pembe sen kocanı cennette hurilerle nasıl paylaşacaksin 🤣,2023-12-24T08:31:29Z,0,0
@nehir5464,ertugrul gercekten kıvılcımla omerin esi olarak tanıstı bu yaptıgı serefsizlikten baska bir sey degil,2023-12-24T08:28:25Z,1,0
@IlahaElciyeva,Ya dua nekadar sayqısız,2023-12-24T08:27:17Z,1,0
@SevincMemmedova-te2fz,Alevin gercek yuzu son sahnede ortaya cokdi.alev ne gercek bir arkadas ne gercek bir dost bile diyilmis kemdisi icin ukutu nursemayi bile yakti,2023-12-24T08:26:09Z,1,0
@nonamenoname2767,Mıymıy mihri ıyy,2023-12-24T08:25:25Z,0,0
@ebrusubas7488,Hanımının arabasını satmak! heralde evlenen bütün erkeklerin aklına ilk bu geliyor genetik kod galiba,2023-12-24T08:23:42Z,0,0
@alisiimkeremimm6278,Şu pembe çekecek hem kendi edepsizliğinden hemde nilaydan sürünsünler ikiside,2023-12-24T08:19:21Z,0,0
@nurayakay4251,Umut ve Alev dostluğu o kadar toksik ki. Alev umutun onu her koşulda destekleyeceğini bildiğinden karısı hakkında nasıl rahat rahat konuşuyor ya delirdim.,2023-12-24T08:18:43Z,2,0
@user-ep6xi1pw7f,Bu dizi neden boykot ürünleri reklam yapıp gözümüze sokuyor,2023-12-24T08:18:40Z,0,0
@koalaprens7416,rahimcan kapkap,2023-12-24T08:17:56Z,0,0
@siembx9256,Offfff fatih annemde annem yeter ya😒,2023-12-24T08:16:28Z,0,0
