VideoID,Title,ViewCount,LikeCount,ID
rN0LKmH6MJE,Nursema'nın bakışı nasıl ortaya çıktı? 🙄 | #KızılcıkŞerbeti #shorts,4708561.0,75617,1
qNtufNt4rvg,​Kızılcık Şerbeti 20. Bölüm 2. Fragman | “Bu ruh hastası beni camdan aşağı attı!”,3947618.0,52333,2
LD5XnNx17BU,"​Kızılcık Şerbeti 26. Bölüm 1. Fragman | ""İhaneti asla kabul edemem, boşanacağım!""",3899328.0,31648,3
jV29gvZelu4,"​Kızılcık Şerbeti 20. Bölüm 1. Fragman | ""Tek yapmak istediğim; bana bunu yapanlardan hesap sormak!""",3593447.0,21383,4
FmXGEbnK1Ec,"​Kızılcık Şerbeti 28. Bölüm 1. Fragman | ""Doğa bu olanları öğrenirse hayatta seni affetmez!""",3548631.0,23201,5
Td3s4FgHnOY,​Kızılcık Şerbeti 23. Bölüm 1. Fragman | Yeni Bölüm Bu Akşam 20:00'de Show TV'de,3414654.0,19128,6
NkiwjRbOF_E,"​Kızılcık Şerbeti 21. Bölüm 2. Fragman | ""Alev'e olan duygularını, ona aşık olduğunu biliyorum!""",3357258.0,27264,7
TJK8nKCtOLw,​Kızılcık Şerbeti 22. Bölüm 1. Fragman | “Bizi çok büyük bir fırtına bekliyor!”,3260914.0,24045,8
isP14pI27As,"​Kızılcık Şerbeti 25. Bölüm 2. Fragman | ""Nasıl yaptın bana bunu?""",3023091.0,29440,9
U8cm1Hmtk4Y,​Kızılcık Şerbeti 23. Bölüm 2. Fragman | Yeni Bölüm Bu Akşam 20:00'de Show TV'de,2992009.0,15903,10
Mk4vH7xWBKs,"​Kızılcık Şerbeti 24. Bölüm 1. Fragman | ""Hayatımın o karanlık dönemi sona erdi...""",2948462.0,19010,11
4Lpvmsi88o4,"​Kızılcık Şerbeti 43. Bölüm 1. Fragman | ""Ailemize girdin, bütün hayatımızı mahvettin!""",2833538.0,15139,12
j9KECf1QJC4,"​Kızılcık Şerbeti 24. Bölüm 2. Fragman | ""Ben senden izin almıyorum!""",2548179.0,22242,13
uys1bJ3KJC0,​Kızılcık Şerbeti 28. Bölüm 2. Fragman | “Biz mutlu olalım Umut…”,2540581.0,18724,14
6nlosraOGSU,"​Kızılcık Şerbeti 27. Bölüm 2. Fragman | “Umut, ailen beni istemiyor mu?”",2508420.0,17265,15
h2lqFv14HKA,Pembe likörlü çikolata yerse.. 😳 | #KızılcıkŞerbeti #shorts,2495648.0,43760,16
xZwsvk3ZaHY,"​Kızılcık Şerbeti 43. Bölüm 2. Fragman | ""Boşanmak istiyorum, Alev Hanım'ı seviyorum!""",2259528.0,12253,17
c8v53SGjq_w,"""Hiç uğraşmayın o zaman mayoyla gelsin!"" | #KızılcıkŞerbeti #shorts",2163874.0,38494,18
NoZi8TzkH18,"​Kızılcık Şerbeti 44. Bölüm 2. Fragman | ""Sen darbeyi o çok sevdiğin evlatlarından yedin!""",2061116.0,11458,19
u2zsAZqNRB0,"""Alev bi dur artık!"" 😅 | #KızılcıkŞerbeti #shorts",1941963.0,30081,20
7WEViRdLsb4,"Doğa, Nilay'ı fena bozuyor! 🤣 | #KızılcıkŞerbeti #shorts",1922120.0,54647,21
YOcoGgk8UbA,"​Kızılcık Şerbeti 42. Bölüm 2. Fragman | ""Kadının iyisi darda, erkeğin iyisi bollukta belli olur''",1756412.0,8970,22
xc3rs5kbZMU,Alev ve Pembe'nin çiçek atışması! | Kızılcık Şerbeti 8. Bölüm,1536891.0,7928,23
TXczL3DBBjA,Nursema açtı ağzını yumdu gözünü! | Kızılcık Şerbeti 13. Bölüm,1300628.0,7539,24
ujxc_etvpDg,"Alev, Pembe'ye ağzına geleni söyledi! | Kızılcık Şerbeti 29. Bölüm",929970.0,6437,25
HmvosSfCM84,Kilise tartışması! | #KızılcıkŞerbeti #shorts,768491.0,18935,26
pw_PIvL2Zwk,Alev Arslan ve esprileri ile tanışın! 😎 | #KızılcıkŞerbeti #shorts,718402.0,19123,27
QGzN2w5qDtk,"""Biraz şefkat göster, birazcık...  | #KızılcıkŞerbeti #shorts",704733.0,17010,28
YMHKd9HBu0w,"""Tekbir getirmeyi öğreteceğim papağana.."" | #KızılcıkŞerbeti",700763.0,18488,29
o2nd_EV5how,Kızılcık Şerbeti İlk Sezon - (CANLI YAYIN),477318.0,1815,30
fl2XvjtLUjk,İlişkide kısıtlamalar... | #KızılcıkŞerbeti #shorts,447025.0,12320,31
W_GIJF6ajzI,Doğa ve Nilay arasında tansiyon yükseliyor! | Kızılcık Şerbeti 27. Bölüm,400266.0,3007,32
mMe_CThk9QE,"Alev, Abdullah'tan dansçılar için özür diliyor! | Kızılcık Şerbeti 4. Bölüm",324974.0,2083,33
YzvstwAcIdI,Umut söyledikleriyle Sönmez'i duygulandırdı.. | Kızılcık Şerbeti 26. Bölüm,319277.0,2407,34
DY3h0X7DfO0,3-2-1 🎬  #KızılcıkŞerbeti setinden eğlenceli kamera arkası görüntüleri sizlerle! 🎉,287502.0,856,35
v9GfE3Mjk_g,Kötü haberleri vermeden önce Pembe gibi olanlar😅 | #KızılcıkŞerbeti #shorts,260281.0,5849,36
Zqca5SAgFXs,"""Siz önce gidin, kendi kızınızın marazıyla ilgilenin!"" | #KızılcıkŞerbeti #shorts",246904.0,4686,37
28R3vqdAQ28,#KızılcıkŞerbeti'nin 43. Bölüm setinden eğlenceli kamera arkası görüntüler sizlerle...😉,224697.0,957,38
5AWjWTGs_iI,#KızılcıkŞerbeti setinden eğlenceli kamera arkası sizlerle🎥😊,191450.0,1190,39
B9UZfHj9tLE,🎶 Aşkın olayım… 💘🔥 #KızılcıkŞerbeti #shorts,174071.0,3578,40
wLdRB3wGPbk,Bi' Kıvılcım Once Said'inizi alırız! 🤩 | Kızılcık Şerbeti,151823.0,1325,41
-hd3ZCNfPRc,"Pembe'nin, Fatih'e son sözü ağır oldu! | Kızılcık Şerbeti 43. Bölüm",119650.0,415,42
6Dtj7YgOIB4,Alev aşkı uğruna Arslan ailesini insan içine çıkamayacak hale getirdi! | Kızılcık Şerbeti 43. Bölüm,104620.0,567,43
APZ74ujs0RQ,#UmNur muradına erdi! | #KızılcıkŞerbeti #shorts,94176.0,2834,44
mktUFDvBpXU,Yakup 'Once Said' dersek! 🦜 | Kızılcık Şerbeti,78293.0,1033,45
gtWJD73DXq0,Kızılcık Şerbeti 44. Bölüm Fotoğrafları! 📸,50761.0,366,46
thRbmmidA7g,"""Sen ne istersen onu yapmaya karar verdim..."" | #KızılcıkŞerbeti #shorts",46593.0,1062,47
KUwfcIzVNpc,"""Ne kadar ciddi olduğumu göstermek istedim..."" | #KızılcıkŞerbeti #shorts",43536.0,848,48
RAeHkok2iNw,"Koyun can, kasap et derdinde! | Kızılcık Şerbeti 43. Bölüm",28541.0,203,49
_r7UGqjmZ5c,Ömer gözlerini açıyor! | Kızılcık Şerbeti 44. Bölüm,27544.0,325,50
